sequence,configuration,roc_auc,pr_auc,frames
Overall,Density Only,0.7016120240268847,0.7983777160199793,2000
Overall,MII Only,0.6468095578312296,0.7557854597991267,2000
Overall,DCI Only,0.5351962107380064,0.6538576167750452,2000
Overall,MII + DCI,0.6204535471408537,0.7210278190699853,2000
Overall,Density + MII,0.7215966764573576,0.8174905121140952,2000
Overall,Density + DCI,0.7019438490645922,0.7756801754922156,2000
Overall,Current CPI,0.7368749173083537,0.8133431375468231,2000
Overall,Additive CPI,0.7212860204810668,0.8040202917223799,2000
Test003,Density Only,0.9823232323232324,0.9761609580457348,200
Test003,MII Only,0.5865656565656565,0.6147714154182886,200
Test003,DCI Only,0.8161616161616161,0.7359105100435426,200
Test003,MII + DCI,0.8154545454545454,0.7945560348095645,200
Test003,Density + MII,0.9520707070707071,0.9430239216535845,200
Test003,Density + DCI,0.9901010101010101,0.9903442941915073,200
Test003,Current CPI,0.9811111111111112,0.9752651686235909,200
Test003,Additive CPI,0.9764646464646465,0.9699842480128997,200
Test004,Density Only,0.5887096774193549,0.6711477790106648,200
Test004,MII Only,0.6413043478260869,0.8423040137716562,200
Test004,DCI Only,0.6348761103319308,0.7789141682004883,200
Test004,MII + DCI,0.6680691912108461,0.8409505453617949,200
Test004,Density + MII,0.7536231884057971,0.8815271911138898,200
Test004,Density + DCI,0.7419354838709677,0.7871197471612734,200
Test004,Current CPI,0.7373772791023843,0.8462690799278805,200
Test004,Additive CPI,0.7872837774661057,0.8945199242337942,200
Test014,Density Only,,1.0,200
Test014,MII Only,,1.0,200
Test014,DCI Only,,1.0,200
Test014,MII + DCI,,1.0,200
Test014,Density + MII,,1.0,200
Test014,Density + DCI,,1.0,200
Test014,Current CPI,,1.0,200
Test014,Additive CPI,,1.0,200
Test018,Density Only,0.4434968017057569,0.2853095788580176,200
Test018,MII Only,0.44809785658175294,0.4203057614232122,200
Test018,DCI Only,0.671305128492874,0.5478792786372504,200
Test018,MII + DCI,0.4916395466277634,0.40308266548183624,200
Test018,Density + MII,0.5155425878128156,0.3292261188502175,200
Test018,Density + DCI,0.5602064863651667,0.36711786197805685,200
Test018,Current CPI,0.5015149814835598,0.3107758907638644,200
Test018,Additive CPI,0.5218269554483224,0.36630765627472267,200
Test019,Density Only,0.9090133333333335,0.8113087372860524,200
Test019,MII Only,0.7620266666666666,0.6378112048006214,200
Test019,DCI Only,0.3732266666666667,0.3258196279809752,200
Test019,MII + DCI,0.5584,0.38229704750390414,200
Test019,Density + MII,0.8756266666666667,0.7649746804403207,200
Test019,Density + DCI,0.6842666666666668,0.47485557996044636,200
Test019,Current CPI,0.8622933333333334,0.7420667037732502,200
Test019,Additive CPI,0.7640533333333333,0.5665368866523874,200
Test021,Density Only,0.9663725490196079,0.9722082688814,200
Test021,MII Only,0.6103921568627451,0.9078818834234661,200
Test021,DCI Only,0.8552941176470589,0.9651093470566718,200
Test021,MII + DCI,0.8427450980392158,0.9716397019721665,200
Test021,Density + MII,0.967843137254902,0.9923292786940618,200
Test021,Density + DCI,0.98,0.9967074010587882,200
Test021,Current CPI,0.997843137254902,0.999630432110148,200
Test021,Additive CPI,0.97,0.9951819324545573,200
Test022,Density Only,0.5518317230273753,0.48588984650865635,200
Test022,MII Only,0.96658615136876,0.9551860818189932,200
Test022,DCI Only,0.8185386473429951,0.7544279709731229,200
Test022,MII + DCI,0.9700080515297906,0.9700510447311004,200
Test022,Density + MII,0.9065016103059581,0.9251104964148513,200
Test022,Density + DCI,0.7506038647342995,0.7808780147897563,200
Test022,Current CPI,0.8280998389694043,0.8772347501777965,200
Test022,Additive CPI,0.9089170692431562,0.9271224439814513,200
Test023,Density Only,0.24562989752863174,0.6623835840490784,200
Test023,MII Only,0.38916515973478,0.7485768431400442,200
Test023,DCI Only,0.3004822182037372,0.7196263134429447,200
Test023,MII + DCI,0.3179626280892104,0.7408193405196855,200
Test023,Density + MII,0.3206751054852321,0.7178988380774782,200
Test023,Density + DCI,0.24608197709463536,0.6759687064701154,200
Test023,Current CPI,0.30560578661844484,0.7081697155094497,200
Test023,Additive CPI,0.30470162748643764,0.7209158772467028,200
Test024,Density Only,0.9864438839848676,0.9843455637356099,200
Test024,MII Only,0.626733921815889,0.6684048522260784,200
Test024,DCI Only,0.3693778898696931,0.49940441357704135,200
Test024,MII + DCI,0.4202395964691047,0.5175097595467294,200
Test024,Density + MII,0.9875998318621269,0.9921720678688332,200
Test024,Density + DCI,0.9334804539722573,0.9578016483519457,200
Test024,Current CPI,0.9963219840269021,0.9976756070351599,200
Test024,Additive CPI,0.8608659100462379,0.9078082344326763,200
Test032,Density Only,0.48924031628465614,0.6793501000687528,200
Test032,MII Only,0.9556600940846762,0.948827755912006,200
Test032,DCI Only,0.5967370633570213,0.600277387152228,200
Test032,MII + DCI,0.947452707436693,0.9510961771269771,200
Test032,Density + MII,0.8334501050945852,0.8604595957074146,200
Test032,Density + DCI,0.478030227204484,0.6247898999074424,200
Test032,Current CPI,0.6490841757581823,0.760237026987487,200
Test032,Additive CPI,0.8373536182564308,0.8537632361259264,200
