sequence,normal_frames,abnormal_frames,density_normal_mean,density_abnormal_mean,density_direction,density_relative_change_pct,mii_normal_mean,mii_abnormal_mean,mii_direction,mii_relative_change_pct,dci_normal_mean,dci_abnormal_mean,dci_direction,dci_relative_change_pct,cpi_normal_mean,cpi_abnormal_mean,cpi_direction,cpi_relative_change_pct,cri_normal_mean,cri_abnormal_mean,cri_direction,cri_relative_change_pct
Test003,90,110,0.041673462633998695,0.07311214474282231,HIGHER,75.44053246771679,0.4066084404786428,0.4198521302504973,HIGHER,3.257111376307029,0.31733753151363797,0.49521258202466095,HIGHER,56.05232058830034,0.2618260197295275,0.6674445854732164,HIGHER,154.91912001820998,0.2553257683292031,0.6631958649917082,HIGHER,159.74497965149357
Test004,62,138,0.04283990035377152,0.03507412871587816,LOWER,-18.127426940220886,0.3748393698084739,0.4372234478376914,HIGHER,16.64288307311289,0.8061937824372323,0.8650556971197543,HIGHER,7.30121168939985,0.3145339352220434,0.47178146774022567,HIGHER,49.99382098697053,0.32227316483735075,0.46842349979324616,HIGHER,45.349830796385596
Test014,0,200,,0.06003869269226675,N/A,,,0.5316717508435249,N/A,,,0.6167334586381912,N/A,,,0.5854034717561158,N/A,,,0.5831197933852672,N/A,
Test018,133,67,0.04040403636471239,0.03669187304621447,LOWER,-9.187605131798184,0.36296228784367557,0.4261825342676533,HIGHER,17.4178553919646,0.6728668768603102,0.7528108785401529,HIGHER,11.881102255006589,0.37669527468992003,0.4120111614993353,HIGHER,9.375187102754568,0.37439870624277827,0.40324517306107194,HIGHER,7.704745325585667
Test019,125,75,0.027806829060738166,0.03432081693436862,HIGHER,23.425856502379393,0.3148285065293312,0.444827675819397,HIGHER,41.29205792803718,0.6728148903846741,0.5837128758430481,LOWER,-13.243169230497113,0.1829093981701759,0.3744017218243612,HIGHER,104.69244640782426,0.17732799872010946,0.3777271801233292,HIGHER,113.01045680864266
Test021,30,170,0.03765468212601492,0.03658481262944488,LOWER,-2.841265511124552,0.22325137505928674,0.24950432216419893,HIGHER,11.759366363562348,0.5920689026514689,0.8053698273266063,HIGHER,36.02636850540696,0.015407339170605872,0.3521250375802143,HIGHER,2185.4370484165015,0.014173280777564856,0.34710947123958785,HIGHER,2349.041098438082
Test022,108,92,0.034132745925374325,0.025744543827437377,LOWER,-24.575233754343646,0.18064312195336377,0.41984375857788586,HIGHER,132.41613300188425,0.4540063672595554,0.6799466972765715,HIGHER,49.765894558004305,0.11684665870241037,0.29001396722416456,HIGHER,148.20047953855783,0.12230704108056936,0.2808452486617329,HIGHER,129.62312404951976
Test023,42,158,0.053615116932849045,0.02257772200371893,LOWER,-57.88926091125253,0.2870081993085997,0.2639124946126455,LOWER,-8.047053969744274,0.6637924852825347,0.4972773292396642,LOWER,-25.08542349225231,0.3015368963264359,0.17138441342197336,LOWER,-43.163037256828055,0.29478488310269313,0.16588683121213602,LOWER,-43.72614040919235
Test024,78,122,0.033951993650429946,0.06014598202842037,HIGHER,77.1500744483048,0.3542876598926691,0.5003772985006942,HIGHER,41.234752193255275,0.5263913166828644,0.32691045081029174,LOWER,-37.89592638602626,0.1396093083388325,0.4804867154177281,HIGHER,244.16524308793535,0.14251922119934202,0.47914977347264526,HIGHER,236.20010651226983
Test032,97,103,0.03859152952581263,0.0432256225582281,HIGHER,12.008057439951626,0.30068317117150295,0.6824030783569929,HIGHER,126.95087180910616,0.7896548085605976,0.8266494962775591,HIGHER,4.684918943809943,0.4054198786173976,0.4756722167842313,HIGHER,17.328291450931097,0.4127954247686052,0.46243046795569576,HIGHER,12.024126288442698
