sequence,frame,filename,avg_magnitude,avg_direction,mii,density,dci,cpi,cri,ground_truth,normal_anomaly_score,cpi_plus_anomaly
Test003,1,001.tif,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.999761782286739,0.29992853468602165
Test003,2,002.tif,0.2210608571767807,210.435302734375,0.3325643837451935,0.0159557493883629,0.7990763187408447,0.156658318826345,0.1566583216190338,0,0.32411402806922096,0.2068950315992078
Test003,3,003.tif,0.2250871956348419,184.28599548339844,0.350011944770813,0.0110360599936177,0.7891698479652405,0.0986800716645566,0.1276692003011703,0,0.3627358971964537,0.1778968193241257
Test003,4,004.tif,0.2423862963914871,185.34054565429688,0.4173763394355774,0.0092277417296032,0.760310173034668,0.0844108638397404,0.1132497563958168,0,0.42035718518276344,0.1851947602426473
Test003,5,005.tif,0.2130096405744552,202.28659057617188,0.3775845766067505,0.0060365918519306,0.7753812074661255,0.0367642861025418,0.0941283926367759,0,0.4068783492994822,0.1477985050616239
Test003,6,006.tif,0.2123100161552429,204.5059051513672,0.3509511351585388,0.0064620785022869,0.6454996466636658,0.036613761054264,0.082625463604927,0,0.3396364263879036,0.12752056065435585
Test003,7,007.tif,0.2277984470129013,201.5789794921875,0.3781498968601227,0.0038293798532071,0.6965581178665161,0.0070584034348801,0.0527054779231548,0,0.3937593807792167,0.12306869663818107
Test003,8,008.tif,0.2347326278686523,195.95474243164065,0.3837900459766388,0.0047867248165088,0.7419466972351074,0.0199520357408471,0.0369598679244518,0,0.4078532477958049,0.13632239935733442
Test003,9,009.tif,0.2332822978496551,204.15040588378903,0.3900752067565918,0.0054781406233379,0.7254207134246826,0.0290779578263787,0.0258932895958423,0,0.4048276326414336,0.14180286027089517
Test003,10,010.tif,0.218837484717369,217.20542907714844,0.3557183742523193,0.0030581852994362,0.5660022497177124,0.0,0.0185404326766729,0,0.33517241045730706,0.10055172313719211
Test003,11,011.tif,0.2012546956539154,192.0857696533203,0.3189971148967743,0.0082703967663014,0.5698943734169006,0.0499667772221287,0.0212110355496406,0,0.27150255650145716,0.11642751100592723
Test003,12,012.tif,0.2241262942552566,213.0118103027344,0.3537890315055847,0.0090947771513668,0.4997164011001587,0.0597743004534199,0.0317542143166065,0,0.2911690814658916,0.12919273475716142
Test003,13,013.tif,0.2361187040805816,208.75802612304688,0.3759528696537018,0.0078715030315923,0.4635537266731262,0.0483573127862141,0.03743527084589,0,0.3321404721606481,0.1334922605985443
Test003,14,014.tif,0.2351391762495041,207.7143402099609,0.3966997563838959,0.0080842463567705,0.524765133857727,0.0557222834794696,0.0427641347050666,0,0.33293536772709253,0.13888620875375646
Test003,15,015.tif,0.2195521295070648,188.4491729736328,0.3669794201850891,0.0069407509839378,0.4205605983734131,0.036352930067286,0.0500347204506397,0,0.34322960829698024,0.12841593353619427
Test003,16,016.tif,0.2133308053016662,218.4576416015625,0.3449628949165344,0.0109562812466758,0.3002281188964844,0.0636894218282034,0.0527792498469352,0,0.34216594708480097,0.14723237940518266
Test003,17,017.tif,0.2375582009553909,177.3702392578125,0.4091130197048187,0.010583980427614,0.3710898756980896,0.0770977245890427,0.0562439337372779,0,0.3787988790305178,0.16760807092148522
Test003,18,018.tif,0.2357061505317688,185.3580474853516,0.3974665105342865,0.014599510690352,0.3259798288345337,0.1115787620582534,0.0688882246613502,0,0.36279522006846665,0.1869436994613174
Test003,19,019.tif,0.225937932729721,181.1934356689453,0.3878444135189056,0.0122593341133921,0.3950830698013305,0.0917833447790345,0.0761004313826561,0,0.34324033332200554,0.16722044134192582
Test003,20,020.tif,0.2278089970350265,198.6347503662109,0.4053481221199035,0.0133762365705775,0.3652606010437011,0.1050440224958253,0.0898386463522911,0,0.3633111000091642,0.18252414574982695
Test003,21,021.tif,0.2352780103683471,182.92559814453125,0.421596497297287,0.0153175194128284,0.425317108631134,0.1365548316386176,0.1044117361307144,0,0.348324743672917,0.2000858052489074
Test003,22,022.tif,0.2499377727508545,215.9097442626953,0.4651439785957336,0.0167801297734283,0.4247481226921081,0.1680409841181875,0.1226003915071487,0,0.3801595825574635,0.23167656364997027
Test003,23,023.tif,0.2465412616729736,203.01792907714844,0.4229287803173065,0.0160355281353047,0.3254931569099426,0.1339402234790856,0.1270726770162582,0,0.3783575899695446,0.20726543342622328
Test003,24,024.tif,0.2268091142177581,194.81089782714844,0.3852482140064239,0.0147324752685884,0.2904336452484131,0.1057466648993716,0.1298653483390808,0,0.3627084262028174,0.18283519329040532
Test003,25,025.tif,0.2441924065351486,202.38104248046875,0.4061385691165924,0.0160089352196574,0.3131567239761352,0.1268371955416029,0.1342239826917648,0,0.3675845913688389,0.1990614142897737
Test003,26,026.tif,0.2168336659669876,203.43626403808597,0.3921153247356415,0.0206095096266354,0.3271090388298034,0.1685761862759241,0.1406282484531402,0,0.3260184806561548,0.21580887458999332
Test003,27,027.tif,0.2177910357713699,204.16839599609372,0.3784889876842499,0.01890756302521,0.274823248386383,0.1394291915338297,0.1349058896303177,0,0.34007931260027224,0.19962422785376246
Test003,28,028.tif,0.2374426424503326,202.2616271972656,0.4202287197113037,0.0201840229762791,0.3176593780517578,0.1751407120349739,0.1431459933519363,0,0.35754874209279197,0.22986312105231932
Test003,29,029.tif,0.2241421490907669,195.23489379882807,0.3846873044967651,0.0195989788320391,0.2782214283943176,0.1486573088017647,0.1517281234264373,0,0.34106329514097977,0.20637910470352921
Test003,30,030.tif,0.2338148802518844,186.72244262695312,0.3926998376846313,0.0244920753111371,0.3754456043243408,0.2156419276942892,0.1694890558719635,0,0.28799486808587493,0.2373478098117649
Test003,31,031.tif,0.220664694905281,174.0058135986328,0.3931018412113189,0.0223912349750026,0.4961481094360351,0.2147498158011807,0.1787237823009491,0,0.2556939495365448,0.2270330559217899
Test003,32,032.tif,0.2378655076026916,183.564697265625,0.4058731198310852,0.0225773853845335,0.4672056436538696,0.2182120009425638,0.1944803446531295,0,0.2786570472868135,0.2363455148458387
Test003,33,033.tif,0.2452849000692367,224.94497680664065,0.3932450413703918,0.0210881821082863,0.4284682869911194,0.1895951481079315,0.197371244430542,0,0.2885911226770508,0.21929394047866724
Test003,34,034.tif,0.2557007670402527,215.54676818847656,0.4167478084564209,0.024093181576428,0.4020521640777588,0.229198479133813,0.2134794741868972,0,0.30455126171402114,0.25180431390787544
Test003,35,035.tif,0.259837657213211,191.45237731933597,0.4297918081283569,0.0231358366131262,0.3893091082572937,0.2230352621231258,0.2149581462144851,0,0.32683716792990547,0.2541758338651597
Test003,36,036.tif,0.2708166539669037,189.7061004638672,0.4573564827442169,0.0226571641314753,0.3577128648757934,0.2258873762922761,0.2171856611967086,0,0.3653310848793979,0.2677204888684126
Test003,37,037.tif,0.2523835599422455,218.9236297607422,0.4269146025180816,0.0254228273587916,0.2362270355224609,0.2173214794152248,0.2170075476169586,0,0.363460348431763,0.26116314012018627
Test003,38,038.tif,0.2360013723373413,219.5448303222656,0.410768449306488,0.0243059249016062,0.1775290966033935,0.1868806444340918,0.2164646685123443,0,0.3736475815950958,0.242910725582393
Test003,39,039.tif,0.2530528604984283,205.6788024902344,0.4301998019218445,0.0254494202744388,0.1806214451789856,0.2086115009813618,0.2123472690582275,0,0.3840323043487456,0.2612377419915769
Test003,40,040.tif,0.2359127700328827,205.0628967285156,0.4125643968582153,0.0255026061057334,0.2280173301696777,0.2083808549760371,0.2094163596630096,0,0.3527433771582845,0.2516896116307113
Test003,41,041.tif,0.2379619032144546,202.30319213867188,0.4129239022731781,0.028986278055526,0.2388715744018554,0.2437173445596019,0.2129823714494705,0,0.33112562759057806,0.2699398294688947
Test003,42,042.tif,0.2325939536094665,215.4587554931641,0.3799026310443878,0.0247048186363152,0.149026334285736,0.1682206513370216,0.2031621932983398,0,0.353162277976766,0.22370313932894492
Test003,43,043.tif,0.2456647008657455,232.46261596679688,0.3948659002780914,0.0276832251888097,0.1835610270500183,0.2082939032574431,0.2074448615312576,0,0.3398896397374691,0.24777262420145088
Test003,44,044.tif,0.2443651854991912,234.4800262451172,0.3931549489498138,0.0290660568024678,0.2614957690238952,0.2366153736063705,0.2130456268787384,0,0.3037529743043885,0.2567566538157759
Test003,45,045.tif,0.2557597160339355,193.7771453857422,0.4152280390262604,0.0293585788745878,0.2166064381599426,0.2436770907874256,0.2201048880815506,0,0.33888124624603233,0.2722383374250076
Test003,46,046.tif,0.2490955293178558,194.7639312744141,0.4126455187797546,0.0285076055738751,0.1797505021095276,0.2259051215257095,0.216542437672615,0,0.3532606846397234,0.2641117904599136
Test003,47,047.tif,0.25344118475914,196.21263122558597,0.4116659462451935,0.0314594192107222,0.1043621897697448,0.2329699339793746,0.2294922769069671,0,0.3619918364693665,0.27167650472637217
Test003,48,048.tif,0.242367073893547,209.44482421875,0.4151285886764526,0.0336666312094458,0.1650255918502807,0.2700759490987733,0.2418487071990966,0,0.3334617632202136,0.28909169333520535
Test003,49,049.tif,0.2328463792800903,188.8747711181641,0.3931373953819275,0.0346505690883948,0.1851105093955993,0.2667844969811821,0.2478825151920318,0,0.29987226237151343,0.2767108265982815
Test003,50,050.tif,0.2357963770627975,201.1441345214844,0.3837198615074157,0.0332145516434421,0.1981658935546875,0.2508294909668464,0.2493129968643188,0,0.2938934537307112,0.26374867979600586
Test003,51,051.tif,0.2146794497966766,181.4880828857422,0.3251019716262817,0.0312732688011913,0.1639139652252197,0.1843659166160602,0.2410051524639129,0,0.25788784831362377,0.20642249612532926
Test003,52,052.tif,0.2255271226167678,222.38397216796875,0.3629271984100342,0.034863312413573,0.163605511188507,0.2383346513383251,0.2420781105756759,0,0.2761306308335473,0.24967344518689172
Test003,53,053.tif,0.2235733866691589,211.9829864501953,0.3567434251308441,0.0319646846080204,0.106019914150238,0.1974472085146995,0.2275523692369461,0,0.30718768819641984,0.23036935241921558
Test003,54,054.tif,0.2558815479278564,233.01632690429688,0.4153046309947967,0.0347037549196894,0.1085350513458252,0.2638449710568845,0.2269644439220428,0,0.34721407145646166,0.28885570117675763
Test003,55,055.tif,0.2601284980773926,210.7484436035156,0.4544103741645813,0.0355015423891075,0.2036070823669433,0.3295226905935987,0.2427031099796295,0,0.34736262781367155,0.3348746717596205
Test003,56,056.tif,0.2537791132926941,222.7336578369141,0.4353947341442108,0.0372300819061801,0.203720211982727,0.3307903023044012,0.2719879746437073,0,0.3221261911073696,0.3281910689452917
Test003,57,057.tif,0.2696305513381958,214.5873565673828,0.4562008678913116,0.0390649930858419,0.1175751090049743,0.340553997796183,0.2924318313598633,0,0.3792657877395912,0.3521675347792054
Test003,58,058.tif,0.2749846279621124,219.2440490722656,0.4717327058315277,0.0400755238804382,0.1122042536735534,0.3593161664492033,0.3248056471347809,0,0.3992580553647369,0.3712987331238633
Test003,59,059.tif,0.2899787425994873,227.77220153808597,0.5099973678588867,0.0408467184342091,0.2016327977180481,0.3963416648975275,0.3513049781322479,0,0.407877204576755,0.39980232680129574
