sequence,frames,normal_frames,abnormal_frames,gt_start,gt_end,first_cri_crossing,early_warning_frames,false_alarm_frames_before_gt,post_gt_detection_rate,longest_alert_run,normal_mean_cpi,abnormal_mean_cpi,normal_mean_cri,abnormal_mean_cri
Test003,200,90,110,91,200,58,33,33,1.0,143,0.2618260197295275,0.6674445854732164,0.2553257683292031,0.6631958649917082
Test004,200,62,138,31,168,2,29,2,0.9823529411764705,167,0.3145339352220434,0.47178146774022567,0.32227316483735075,0.46842349979324616
Test014,200,0,200,1,200,2,-1,0,0.905,178,,0.5854034717561158,,0.5831197933852672
Test018,200,133,67,54,120,66,-12,0,0.8775510204081632,111,0.37669527468992003,0.4120111614993353,0.37439870624277827,0.40324517306107194
Test019,200,125,75,64,138,26,38,28,0.45985401459854014,63,0.1829093981701759,0.3744017218243612,0.17732799872010946,0.3777271801233292
Test021,200,30,170,31,200,61,-30,0,0.6529411764705882,59,0.015407339170605872,0.3521250375802143,0.014173280777564856,0.34710947123958785
Test022,200,108,92,16,107,56,-40,0,0.2918918918918919,54,0.11684665870241037,0.29001396722416456,0.12230704108056936,0.2808452486617329
Test023,200,42,158,8,165,132,-124,0,0.31088082901554404,37,0.3015368963264359,0.17138441342197336,0.29478488310269313,0.16588683121213602
Test024,200,78,122,50,171,53,-3,0,0.8013245033112583,121,0.1396093083388325,0.4804867154177281,0.14251922119934202,0.47914977347264526
Test032,200,97,103,1,115,28,-27,0,0.84,139,0.4054198786173976,0.4756722167842313,0.4127954247686052,0.46243046795569576
