scope,sequence,model,roc_auc,pr_auc
overall,ALL,current_cpi,0.7368749173083537,0.8133431375468231
overall,ALL,change_5,0.38897409436109126,0.5336998013281864
overall,ALL,motion_change_5,0.3909692783996189,0.537901024590176
overall,ALL,adaptive_5,0.7151925061522585,0.7910232156684768
overall,ALL,adaptive_motion_5,0.7062792728427404,0.7795201796353086
sequence,Test003,current_cpi,0.9811111111111112,0.9752651686235909
sequence,Test003,change_5,0.3625252525252525,0.45652368128074494
sequence,Test003,motion_change_5,0.42808080808080806,0.5019787831974679
sequence,Test003,adaptive_5,0.9735353535353535,0.9455950609912134
sequence,Test003,adaptive_motion_5,0.9760606060606061,0.9577597494830178
sequence,Test004,current_cpi,0.7373772791023843,0.8462690799278805
sequence,Test004,change_5,0.38195418419822347,0.6163413651320966
sequence,Test004,motion_change_5,0.415614773258532,0.6487681417997584
sequence,Test004,adaptive_5,0.7050023375409069,0.8192100221820122
sequence,Test004,adaptive_motion_5,0.7066386161757832,0.8210514503786607
sequence,Test014,current_cpi,,
sequence,Test014,change_5,,
sequence,Test014,motion_change_5,,
sequence,Test014,adaptive_5,,
sequence,Test014,adaptive_motion_5,,
sequence,Test018,current_cpi,0.5015149814835598,0.3107758907638644
sequence,Test018,change_5,0.5248569184154416,0.3672929344456071
sequence,Test018,motion_change_5,0.4698687016047582,0.34027886531842977
sequence,Test018,adaptive_5,0.495230613848053,0.35967844580738906
sequence,Test018,adaptive_motion_5,0.4913028840758613,0.36469111059276416
sequence,Test019,current_cpi,0.8622933333333334,0.7420667037732502
sequence,Test019,change_5,0.4733866666666666,0.33564425228243594
sequence,Test019,motion_change_5,0.43584,0.3209833088732501
sequence,Test019,adaptive_5,0.84128,0.7212946007872124
sequence,Test019,adaptive_motion_5,0.8072533333333333,0.6580013414463105
sequence,Test021,current_cpi,0.997843137254902,0.999630432110148
sequence,Test021,change_5,0.4374509803921569,0.7963379391754981
sequence,Test021,motion_change_5,0.4264705882352941,0.7907757946383904
sequence,Test021,adaptive_5,0.9666666666666668,0.9916932356008215
sequence,Test021,adaptive_motion_5,0.9784313725490196,0.9957940550095596
sequence,Test022,current_cpi,0.8280998389694043,0.8772347501777965
sequence,Test022,change_5,0.39402173913043476,0.3815765343397572
sequence,Test022,motion_change_5,0.4432367149758454,0.41765774920645016
sequence,Test022,adaptive_5,0.805756843800322,0.8301241042317714
sequence,Test022,adaptive_motion_5,0.8095813204508856,0.7734999613046402
sequence,Test023,current_cpi,0.30560578661844484,0.7081697155094497
sequence,Test023,change_5,0.3324291742013261,0.6842006146876992
sequence,Test023,motion_change_5,0.3515672091621459,0.6890480877680276
sequence,Test023,adaptive_5,0.28405666063893914,0.6903433674525717
sequence,Test023,adaptive_motion_5,0.28812537673297167,0.6911227556761831
sequence,Test024,current_cpi,0.9963219840269021,0.9976756070351599
sequence,Test024,change_5,0.36527952921395546,0.5133746072538787
sequence,Test024,motion_change_5,0.3630727196300967,0.5102368231216755
sequence,Test024,adaptive_5,0.9805590584279109,0.9766525992649857
sequence,Test024,adaptive_motion_5,0.9674232870954182,0.9667112626693641
sequence,Test032,current_cpi,0.6490841757581823,0.760237026987487
sequence,Test032,change_5,0.4186768091282155,0.46141590627496426
sequence,Test032,motion_change_5,0.3212891602442198,0.42407542476267923
sequence,Test032,adaptive_5,0.635572014813332,0.7483525267817652
sequence,Test032,adaptive_motion_5,0.6099489540586529,0.7169210405088823
